mysql> select * from bat.expplaque order by totexp desc limit 1000;
+--------------+------------+------+---------+
| player       | totexp     | lvl  | hideexp |
+--------------+------------+------+---------+
| Toag         | 1371534062 |  100 |       1 | 
| Demicore     | 1277325019 |  100 |       1 | 
| Mithrand     | 1192379875 |  100 |       1 | 
| Broetchen    |  959333208 |  100 |       0 | 
| Moonlord     |  917229682 |  100 |       0 | 
| Blnk         |  895701113 |  100 |       1 | 
| Sarmangoth   |  845482633 |  100 |       1 | 
| Druff        |  824929729 |  100 |       1 | 
| Rankku       |  824441999 |  100 |       0 | 
| Qurp         |  795467086 |  100 |       1 | 
| Cutter       |  767520411 |  100 |       0 | 
| Turmio       |  722488149 |  100 |       0 | 
| Dogi         |  717136149 |  100 |       0 | 
| Smoking      |  714250634 |  100 |       1 | 
| Brillo       |  709296207 |  100 |       1 | 
| Thanril      |  702471576 |  100 |       1 | 
| Norz         |  702158305 |  100 |       1 | 
| Pirutar      |  688897060 |  100 |       0 | 
| Balroc       |  683928039 |  100 |       1 | 
| Rocker       |  677825688 |  100 |       1 | 
| Deathwind    |  675727166 |  100 |       0 | 
| Zenick       |  671906054 |  100 |       1 | 
| Garou        |  656581880 |  100 |       0 | 
| Nosunrise    |  648049323 |  100 |       1 | 
| Moss         |  639701576 |  100 |       1 | 
| Cyberlahko   |  632985933 |  100 |       0 | 
| Amd          |  627685268 |  100 |       0 | 
| Gaurhoth     |  619908969 |  100 |       0 | 
| Vendar       |  615853129 |  100 |       1 | 
| Yehat        |  613776413 |  100 |       0 | 
| Daria        |  607478583 |  100 |       0 | 
| Grimpold     |  602446910 |  100 |       1 | 
| Frenor       |  600656674 |   98 |       1 | 
| Cran         |  599234471 |  100 |       0 | 
| Daerid       |  593618342 |  100 |       1 | 
| Bleezuz      |  591149982 |  100 |       1 | 
| Conquer      |  588652260 |  100 |       0 | 
| Aloysha      |  586135665 |  100 |       0 | 
| Jacen        |  584937902 |  100 |       0 | 
| Argoroth     |  576270237 |   96 |       0 | 
| Blux         |  575161758 |  100 |       1 | 
| Cola         |  567706539 |  100 |       1 | 
| Andthi       |  567567855 |  100 |       0 | 
| Dazzt        |  560531141 |  100 |       0 | 
| Onyxsablet   |  558065530 |  100 |       0 | 
| Spid         |  555892221 |  100 |       1 | 
| Nomiculious  |  553940300 |  100 |       0 | 
| Thumper      |  553289300 |  100 |       0 | 
| Tarli        |  552613942 |  100 |       0 | 
| Murrough     |  549803877 |  100 |       0 | 
| Jokke        |  549467527 |  100 |       1 | 
| Kerad        |  546866201 |   61 |       0 | 
| Wermine      |  539981541 |  100 |       1 | 
| Nina         |  539553985 |  100 |       1 | 
| Stefan       |  531809795 |  100 |       1 | 
| Delpers      |  527852340 |  100 |       0 | 
| Milk         |  526972626 |  100 |       1 | 
| Requiem      |  526662892 |  100 |       1 | 
| Kaide        |  523899889 |   98 |       0 | 
| Elurin       |  522300769 |  100 |       1 | 
| Alva         |  520366351 |  100 |       0 | 
| Kerpele      |  519933571 |  100 |       1 | 
| Brokus       |  515778121 |  100 |       1 | 
| Kenn         |  512173458 |  100 |       1 | 
| Zipob        |  510634431 |  100 |       0 | 
| Nuane        |  510317460 |  100 |       0 | 
| Beyond       |  507162815 |   98 |       0 | 
| Willi        |  504665154 |   97 |       0 | 
| Zarx         |  499205733 |  100 |       0 | 
| Lammas       |  498784588 |  100 |       0 | 
| Miksa        |  497740707 |  100 |       1 | 
| Nomed        |  491898823 |   97 |       0 | 
| Chizra       |  490518666 |  100 |       0 | 
| Orthanc      |  483061812 |  100 |       0 | 
| Desos        |  481869318 |   98 |       1 | 
| Baltzebub    |  481582440 |  100 |       1 | 
| Greatorian   |  480869849 |  100 |       0 | 
| Rjak         |  480243040 |  100 |       1 | 
| Hantsaus     |  475454581 |  100 |       0 | 
| Asolo        |  469020102 |  100 |       0 | 
| Proteus      |  468671707 |   94 |       0 | 
| Kerzebel     |  467495919 |  100 |       0 | 
| Zup          |  467225587 |   98 |       0 | 
| Lim          |  464865283 |  100 |       0 | 
| Brog         |  464454162 |  100 |       1 | 
| Foxbat       |  463647988 |  100 |       1 | 
| Resin        |  461396666 |  100 |       0 | 
| Dryad        |  461301688 |   91 |       0 | 
| Sly          |  461155623 |   99 |       0 | 
| Headway      |  454147747 |   93 |       0 | 
| Saugor       |  453809594 |   94 |       1 | 
| Kyynel       |  448853065 |  100 |       0 | 
| Corp         |  445128885 |  100 |       1 | 
| Kozma        |  440185501 |  100 |       1 | 
| Zithromax    |  439901002 |   95 |       0 | 
| Yuras        |  439052381 |   90 |       0 | 
| Drifter      |  437545092 |   91 |       0 | 
