1: con,wis,spellmax,skillmax,dex,int
2: con,wis,skillmax,dex,int
3: con,wis,skillmax,dex,str,int
4: con,skillmax,str,dex,wis,int
5: con,skillmax,str,dex,wis,int
6: con,skillmax,dex,wis,int
7: skillmax,con,dex,wis,int
8: con,skillmax,dex,wis,int
9: con,skillmax,wis,int
10: skillmax,dex,wis,int
11: skillmax,dex,wis,spellmax
12: con,skillmax,wis,str
13: dex,con,str,wis
14: dex,con,wis,int
15: con,skillmax,spellmax,str
16: con,str,skillmax
17: dex,str,int
18: con,str,dex
19: dex,str,spellmax,con
20: skillmax,spellmax,con
